كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-27-1,دواء بنادول اكسترا تشغيلة 27-1,51.50,15.5%
SKU-27-2,دواء بنادول اكسترا تشغيلة 27-2,52.50,15.5%
SKU-27-3,دواء بنادول اكسترا تشغيلة 27-3,53.50,15.5%
SKU-27-4,دواء بنادول اكسترا تشغيلة 27-4,54.50,15.5%
SKU-27-5,دواء بنادول اكسترا تشغيلة 27-5,55.50,15.5%
SKU-27-6,دواء بنادول اكسترا تشغيلة 27-6,56.50,15.5%
SKU-27-7,دواء بنادول اكسترا تشغيلة 27-7,57.50,15.5%
SKU-27-8,دواء بنادول اكسترا تشغيلة 27-8,58.50,15.5%
SKU-27-9,دواء بنادول اكسترا تشغيلة 27-9,59.50,15.5%
SKU-27-10,دواء بنادول اكسترا تشغيلة 27-10,60.50,15.5%
SKU-27-11,دواء بنادول اكسترا تشغيلة 27-11,61.50,15.5%
SKU-27-12,دواء بنادول اكسترا تشغيلة 27-12,62.50,15.5%
SKU-27-13,دواء بنادول اكسترا تشغيلة 27-13,63.50,15.5%
SKU-27-14,دواء بنادول اكسترا تشغيلة 27-14,64.50,15.5%
SKU-27-15,دواء بنادول اكسترا تشغيلة 27-15,65.50,15.5%
SKU-27-16,دواء بنادول اكسترا تشغيلة 27-16,66.50,15.5%
SKU-27-17,دواء بنادول اكسترا تشغيلة 27-17,67.50,15.5%
SKU-27-18,دواء بنادول اكسترا تشغيلة 27-18,68.50,15.5%
SKU-27-19,دواء بنادول اكسترا تشغيلة 27-19,69.50,15.5%
SKU-27-20,دواء بنادول اكسترا تشغيلة 27-20,70.50,15.5%
