كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-082-01,صنف تجريبي رقم 82-1,120.00,18.0%
SKU-082-02,صنف تجريبي رقم 82-2,120.00,18.0%
SKU-082-03,صنف تجريبي رقم 82-3,120.00,18.0%
SKU-082-04,صنف تجريبي رقم 82-4,120.00,18.0%
SKU-082-05,صنف تجريبي رقم 82-5,120.00,18.0%
SKU-082-06,صنف تجريبي رقم 82-6,120.00,18.0%
SKU-082-07,صنف تجريبي رقم 82-7,120.00,18.0%
SKU-082-08,صنف تجريبي رقم 82-8,120.00,18.0%
SKU-082-09,صنف تجريبي رقم 82-9,120.00,18.0%
SKU-082-10,صنف تجريبي رقم 82-10,120.00,18.0%
SKU-082-11,صنف تجريبي رقم 82-11,120.00,18.0%
SKU-082-12,صنف تجريبي رقم 82-12,120.00,18.0%
SKU-082-13,صنف تجريبي رقم 82-13,120.00,18.0%
SKU-082-14,صنف تجريبي رقم 82-14,120.00,18.0%
SKU-082-15,صنف تجريبي رقم 82-15,120.00,18.0%
