كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-094-01,صنف تجريبي رقم 94-1,120.00,18.0%
SKU-094-02,صنف تجريبي رقم 94-2,120.00,18.0%
SKU-094-03,صنف تجريبي رقم 94-3,120.00,18.0%
SKU-094-04,صنف تجريبي رقم 94-4,120.00,18.0%
SKU-094-05,صنف تجريبي رقم 94-5,120.00,18.0%
SKU-094-06,صنف تجريبي رقم 94-6,120.00,18.0%
SKU-094-07,صنف تجريبي رقم 94-7,120.00,18.0%
SKU-094-08,صنف تجريبي رقم 94-8,120.00,18.0%
SKU-094-09,صنف تجريبي رقم 94-9,120.00,18.0%
SKU-094-10,صنف تجريبي رقم 94-10,120.00,18.0%
SKU-094-11,صنف تجريبي رقم 94-11,120.00,18.0%
SKU-094-12,صنف تجريبي رقم 94-12,120.00,18.0%
SKU-094-13,صنف تجريبي رقم 94-13,120.00,18.0%
SKU-094-14,صنف تجريبي رقم 94-14,120.00,18.0%
SKU-094-15,صنف تجريبي رقم 94-15,120.00,18.0%
