كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-086-01,صنف تجريبي رقم 86-1,120.00,18.0%
SKU-086-02,صنف تجريبي رقم 86-2,120.00,18.0%
SKU-086-03,صنف تجريبي رقم 86-3,120.00,18.0%
SKU-086-04,صنف تجريبي رقم 86-4,120.00,18.0%
SKU-086-05,صنف تجريبي رقم 86-5,120.00,18.0%
SKU-086-06,صنف تجريبي رقم 86-6,120.00,18.0%
SKU-086-07,صنف تجريبي رقم 86-7,120.00,18.0%
SKU-086-08,صنف تجريبي رقم 86-8,120.00,18.0%
SKU-086-09,صنف تجريبي رقم 86-9,120.00,18.0%
SKU-086-10,صنف تجريبي رقم 86-10,120.00,18.0%
SKU-086-11,صنف تجريبي رقم 86-11,120.00,18.0%
SKU-086-12,صنف تجريبي رقم 86-12,120.00,18.0%
SKU-086-13,صنف تجريبي رقم 86-13,120.00,18.0%
SKU-086-14,صنف تجريبي رقم 86-14,120.00,18.0%
SKU-086-15,صنف تجريبي رقم 86-15,120.00,18.0%
