كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-033-01,صنف تجريبي رقم 33-1,120.00,18.0%
SKU-033-02,صنف تجريبي رقم 33-2,120.00,18.0%
SKU-033-03,صنف تجريبي رقم 33-3,120.00,18.0%
SKU-033-04,صنف تجريبي رقم 33-4,120.00,18.0%
SKU-033-05,صنف تجريبي رقم 33-5,120.00,18.0%
SKU-033-06,صنف تجريبي رقم 33-6,120.00,18.0%
SKU-033-07,صنف تجريبي رقم 33-7,120.00,18.0%
SKU-033-08,صنف تجريبي رقم 33-8,120.00,18.0%
SKU-033-09,صنف تجريبي رقم 33-9,120.00,18.0%
SKU-033-10,صنف تجريبي رقم 33-10,120.00,18.0%
SKU-033-11,صنف تجريبي رقم 33-11,120.00,18.0%
SKU-033-12,صنف تجريبي رقم 33-12,120.00,18.0%
SKU-033-13,صنف تجريبي رقم 33-13,120.00,18.0%
SKU-033-14,صنف تجريبي رقم 33-14,120.00,18.0%
SKU-033-15,صنف تجريبي رقم 33-15,120.00,18.0%
