كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-075-01,صنف تجريبي رقم 75-1,120.00,18.0%
SKU-075-02,صنف تجريبي رقم 75-2,120.00,18.0%
SKU-075-03,صنف تجريبي رقم 75-3,120.00,18.0%
SKU-075-04,صنف تجريبي رقم 75-4,120.00,18.0%
SKU-075-05,صنف تجريبي رقم 75-5,120.00,18.0%
SKU-075-06,صنف تجريبي رقم 75-6,120.00,18.0%
SKU-075-07,صنف تجريبي رقم 75-7,120.00,18.0%
SKU-075-08,صنف تجريبي رقم 75-8,120.00,18.0%
SKU-075-09,صنف تجريبي رقم 75-9,120.00,18.0%
SKU-075-10,صنف تجريبي رقم 75-10,120.00,18.0%
SKU-075-11,صنف تجريبي رقم 75-11,120.00,18.0%
SKU-075-12,صنف تجريبي رقم 75-12,120.00,18.0%
SKU-075-13,صنف تجريبي رقم 75-13,120.00,18.0%
SKU-075-14,صنف تجريبي رقم 75-14,120.00,18.0%
SKU-075-15,صنف تجريبي رقم 75-15,120.00,18.0%
