كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-034-01,صنف تجريبي رقم 34-1,120.00,18.0%
SKU-034-02,صنف تجريبي رقم 34-2,120.00,18.0%
SKU-034-03,صنف تجريبي رقم 34-3,120.00,18.0%
SKU-034-04,صنف تجريبي رقم 34-4,120.00,18.0%
SKU-034-05,صنف تجريبي رقم 34-5,120.00,18.0%
SKU-034-06,صنف تجريبي رقم 34-6,120.00,18.0%
SKU-034-07,صنف تجريبي رقم 34-7,120.00,18.0%
SKU-034-08,صنف تجريبي رقم 34-8,120.00,18.0%
SKU-034-09,صنف تجريبي رقم 34-9,120.00,18.0%
SKU-034-10,صنف تجريبي رقم 34-10,120.00,18.0%
SKU-034-11,صنف تجريبي رقم 34-11,120.00,18.0%
SKU-034-12,صنف تجريبي رقم 34-12,120.00,18.0%
SKU-034-13,صنف تجريبي رقم 34-13,120.00,18.0%
SKU-034-14,صنف تجريبي رقم 34-14,120.00,18.0%
SKU-034-15,صنف تجريبي رقم 34-15,120.00,18.0%
