كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-33-1,دواء بنادول اكسترا تشغيلة 33-1,51.50,15.5%
SKU-33-2,دواء بنادول اكسترا تشغيلة 33-2,52.50,15.5%
SKU-33-3,دواء بنادول اكسترا تشغيلة 33-3,53.50,15.5%
SKU-33-4,دواء بنادول اكسترا تشغيلة 33-4,54.50,15.5%
SKU-33-5,دواء بنادول اكسترا تشغيلة 33-5,55.50,15.5%
SKU-33-6,دواء بنادول اكسترا تشغيلة 33-6,56.50,15.5%
SKU-33-7,دواء بنادول اكسترا تشغيلة 33-7,57.50,15.5%
SKU-33-8,دواء بنادول اكسترا تشغيلة 33-8,58.50,15.5%
SKU-33-9,دواء بنادول اكسترا تشغيلة 33-9,59.50,15.5%
SKU-33-10,دواء بنادول اكسترا تشغيلة 33-10,60.50,15.5%
SKU-33-11,دواء بنادول اكسترا تشغيلة 33-11,61.50,15.5%
SKU-33-12,دواء بنادول اكسترا تشغيلة 33-12,62.50,15.5%
SKU-33-13,دواء بنادول اكسترا تشغيلة 33-13,63.50,15.5%
SKU-33-14,دواء بنادول اكسترا تشغيلة 33-14,64.50,15.5%
SKU-33-15,دواء بنادول اكسترا تشغيلة 33-15,65.50,15.5%
SKU-33-16,دواء بنادول اكسترا تشغيلة 33-16,66.50,15.5%
SKU-33-17,دواء بنادول اكسترا تشغيلة 33-17,67.50,15.5%
SKU-33-18,دواء بنادول اكسترا تشغيلة 33-18,68.50,15.5%
SKU-33-19,دواء بنادول اكسترا تشغيلة 33-19,69.50,15.5%
SKU-33-20,دواء بنادول اكسترا تشغيلة 33-20,70.50,15.5%
