كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-099-01,صنف تجريبي رقم 99-1,120.00,18.0%
SKU-099-02,صنف تجريبي رقم 99-2,120.00,18.0%
SKU-099-03,صنف تجريبي رقم 99-3,120.00,18.0%
SKU-099-04,صنف تجريبي رقم 99-4,120.00,18.0%
SKU-099-05,صنف تجريبي رقم 99-5,120.00,18.0%
SKU-099-06,صنف تجريبي رقم 99-6,120.00,18.0%
SKU-099-07,صنف تجريبي رقم 99-7,120.00,18.0%
SKU-099-08,صنف تجريبي رقم 99-8,120.00,18.0%
SKU-099-09,صنف تجريبي رقم 99-9,120.00,18.0%
SKU-099-10,صنف تجريبي رقم 99-10,120.00,18.0%
SKU-099-11,صنف تجريبي رقم 99-11,120.00,18.0%
SKU-099-12,صنف تجريبي رقم 99-12,120.00,18.0%
SKU-099-13,صنف تجريبي رقم 99-13,120.00,18.0%
SKU-099-14,صنف تجريبي رقم 99-14,120.00,18.0%
SKU-099-15,صنف تجريبي رقم 99-15,120.00,18.0%
