كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-64-1,دواء بنادول اكسترا تشغيلة 64-1,51.50,15.5%
SKU-64-2,دواء بنادول اكسترا تشغيلة 64-2,52.50,15.5%
SKU-64-3,دواء بنادول اكسترا تشغيلة 64-3,53.50,15.5%
SKU-64-4,دواء بنادول اكسترا تشغيلة 64-4,54.50,15.5%
SKU-64-5,دواء بنادول اكسترا تشغيلة 64-5,55.50,15.5%
SKU-64-6,دواء بنادول اكسترا تشغيلة 64-6,56.50,15.5%
SKU-64-7,دواء بنادول اكسترا تشغيلة 64-7,57.50,15.5%
SKU-64-8,دواء بنادول اكسترا تشغيلة 64-8,58.50,15.5%
SKU-64-9,دواء بنادول اكسترا تشغيلة 64-9,59.50,15.5%
SKU-64-10,دواء بنادول اكسترا تشغيلة 64-10,60.50,15.5%
SKU-64-11,دواء بنادول اكسترا تشغيلة 64-11,61.50,15.5%
SKU-64-12,دواء بنادول اكسترا تشغيلة 64-12,62.50,15.5%
SKU-64-13,دواء بنادول اكسترا تشغيلة 64-13,63.50,15.5%
SKU-64-14,دواء بنادول اكسترا تشغيلة 64-14,64.50,15.5%
SKU-64-15,دواء بنادول اكسترا تشغيلة 64-15,65.50,15.5%
SKU-64-16,دواء بنادول اكسترا تشغيلة 64-16,66.50,15.5%
SKU-64-17,دواء بنادول اكسترا تشغيلة 64-17,67.50,15.5%
SKU-64-18,دواء بنادول اكسترا تشغيلة 64-18,68.50,15.5%
SKU-64-19,دواء بنادول اكسترا تشغيلة 64-19,69.50,15.5%
SKU-64-20,دواء بنادول اكسترا تشغيلة 64-20,70.50,15.5%
