كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-014-01,صنف تجريبي رقم 14-1,120.00,18.0%
SKU-014-02,صنف تجريبي رقم 14-2,120.00,18.0%
SKU-014-03,صنف تجريبي رقم 14-3,120.00,18.0%
SKU-014-04,صنف تجريبي رقم 14-4,120.00,18.0%
SKU-014-05,صنف تجريبي رقم 14-5,120.00,18.0%
SKU-014-06,صنف تجريبي رقم 14-6,120.00,18.0%
SKU-014-07,صنف تجريبي رقم 14-7,120.00,18.0%
SKU-014-08,صنف تجريبي رقم 14-8,120.00,18.0%
SKU-014-09,صنف تجريبي رقم 14-9,120.00,18.0%
SKU-014-10,صنف تجريبي رقم 14-10,120.00,18.0%
SKU-014-11,صنف تجريبي رقم 14-11,120.00,18.0%
SKU-014-12,صنف تجريبي رقم 14-12,120.00,18.0%
SKU-014-13,صنف تجريبي رقم 14-13,120.00,18.0%
SKU-014-14,صنف تجريبي رقم 14-14,120.00,18.0%
SKU-014-15,صنف تجريبي رقم 14-15,120.00,18.0%
