كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-43-1,دواء بنادول اكسترا تشغيلة 43-1,51.50,15.5%
SKU-43-2,دواء بنادول اكسترا تشغيلة 43-2,52.50,15.5%
SKU-43-3,دواء بنادول اكسترا تشغيلة 43-3,53.50,15.5%
SKU-43-4,دواء بنادول اكسترا تشغيلة 43-4,54.50,15.5%
SKU-43-5,دواء بنادول اكسترا تشغيلة 43-5,55.50,15.5%
SKU-43-6,دواء بنادول اكسترا تشغيلة 43-6,56.50,15.5%
SKU-43-7,دواء بنادول اكسترا تشغيلة 43-7,57.50,15.5%
SKU-43-8,دواء بنادول اكسترا تشغيلة 43-8,58.50,15.5%
SKU-43-9,دواء بنادول اكسترا تشغيلة 43-9,59.50,15.5%
SKU-43-10,دواء بنادول اكسترا تشغيلة 43-10,60.50,15.5%
SKU-43-11,دواء بنادول اكسترا تشغيلة 43-11,61.50,15.5%
SKU-43-12,دواء بنادول اكسترا تشغيلة 43-12,62.50,15.5%
SKU-43-13,دواء بنادول اكسترا تشغيلة 43-13,63.50,15.5%
SKU-43-14,دواء بنادول اكسترا تشغيلة 43-14,64.50,15.5%
SKU-43-15,دواء بنادول اكسترا تشغيلة 43-15,65.50,15.5%
SKU-43-16,دواء بنادول اكسترا تشغيلة 43-16,66.50,15.5%
SKU-43-17,دواء بنادول اكسترا تشغيلة 43-17,67.50,15.5%
SKU-43-18,دواء بنادول اكسترا تشغيلة 43-18,68.50,15.5%
SKU-43-19,دواء بنادول اكسترا تشغيلة 43-19,69.50,15.5%
SKU-43-20,دواء بنادول اكسترا تشغيلة 43-20,70.50,15.5%
