كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-051-01,صنف تجريبي رقم 51-1,120.00,18.0%
SKU-051-02,صنف تجريبي رقم 51-2,120.00,18.0%
SKU-051-03,صنف تجريبي رقم 51-3,120.00,18.0%
SKU-051-04,صنف تجريبي رقم 51-4,120.00,18.0%
SKU-051-05,صنف تجريبي رقم 51-5,120.00,18.0%
SKU-051-06,صنف تجريبي رقم 51-6,120.00,18.0%
SKU-051-07,صنف تجريبي رقم 51-7,120.00,18.0%
SKU-051-08,صنف تجريبي رقم 51-8,120.00,18.0%
SKU-051-09,صنف تجريبي رقم 51-9,120.00,18.0%
SKU-051-10,صنف تجريبي رقم 51-10,120.00,18.0%
SKU-051-11,صنف تجريبي رقم 51-11,120.00,18.0%
SKU-051-12,صنف تجريبي رقم 51-12,120.00,18.0%
SKU-051-13,صنف تجريبي رقم 51-13,120.00,18.0%
SKU-051-14,صنف تجريبي رقم 51-14,120.00,18.0%
SKU-051-15,صنف تجريبي رقم 51-15,120.00,18.0%
