كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-083-01,صنف تجريبي رقم 83-1,120.00,18.0%
SKU-083-02,صنف تجريبي رقم 83-2,120.00,18.0%
SKU-083-03,صنف تجريبي رقم 83-3,120.00,18.0%
SKU-083-04,صنف تجريبي رقم 83-4,120.00,18.0%
SKU-083-05,صنف تجريبي رقم 83-5,120.00,18.0%
SKU-083-06,صنف تجريبي رقم 83-6,120.00,18.0%
SKU-083-07,صنف تجريبي رقم 83-7,120.00,18.0%
SKU-083-08,صنف تجريبي رقم 83-8,120.00,18.0%
SKU-083-09,صنف تجريبي رقم 83-9,120.00,18.0%
SKU-083-10,صنف تجريبي رقم 83-10,120.00,18.0%
SKU-083-11,صنف تجريبي رقم 83-11,120.00,18.0%
SKU-083-12,صنف تجريبي رقم 83-12,120.00,18.0%
SKU-083-13,صنف تجريبي رقم 83-13,120.00,18.0%
SKU-083-14,صنف تجريبي رقم 83-14,120.00,18.0%
SKU-083-15,صنف تجريبي رقم 83-15,120.00,18.0%
