كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-077-01,صنف تجريبي رقم 77-1,120.00,18.0%
SKU-077-02,صنف تجريبي رقم 77-2,120.00,18.0%
SKU-077-03,صنف تجريبي رقم 77-3,120.00,18.0%
SKU-077-04,صنف تجريبي رقم 77-4,120.00,18.0%
SKU-077-05,صنف تجريبي رقم 77-5,120.00,18.0%
SKU-077-06,صنف تجريبي رقم 77-6,120.00,18.0%
SKU-077-07,صنف تجريبي رقم 77-7,120.00,18.0%
SKU-077-08,صنف تجريبي رقم 77-8,120.00,18.0%
SKU-077-09,صنف تجريبي رقم 77-9,120.00,18.0%
SKU-077-10,صنف تجريبي رقم 77-10,120.00,18.0%
SKU-077-11,صنف تجريبي رقم 77-11,120.00,18.0%
SKU-077-12,صنف تجريبي رقم 77-12,120.00,18.0%
SKU-077-13,صنف تجريبي رقم 77-13,120.00,18.0%
SKU-077-14,صنف تجريبي رقم 77-14,120.00,18.0%
SKU-077-15,صنف تجريبي رقم 77-15,120.00,18.0%
