كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-054-01,صنف تجريبي رقم 54-1,120.00,18.0%
SKU-054-02,صنف تجريبي رقم 54-2,120.00,18.0%
SKU-054-03,صنف تجريبي رقم 54-3,120.00,18.0%
SKU-054-04,صنف تجريبي رقم 54-4,120.00,18.0%
SKU-054-05,صنف تجريبي رقم 54-5,120.00,18.0%
SKU-054-06,صنف تجريبي رقم 54-6,120.00,18.0%
SKU-054-07,صنف تجريبي رقم 54-7,120.00,18.0%
SKU-054-08,صنف تجريبي رقم 54-8,120.00,18.0%
SKU-054-09,صنف تجريبي رقم 54-9,120.00,18.0%
SKU-054-10,صنف تجريبي رقم 54-10,120.00,18.0%
SKU-054-11,صنف تجريبي رقم 54-11,120.00,18.0%
SKU-054-12,صنف تجريبي رقم 54-12,120.00,18.0%
SKU-054-13,صنف تجريبي رقم 54-13,120.00,18.0%
SKU-054-14,صنف تجريبي رقم 54-14,120.00,18.0%
SKU-054-15,صنف تجريبي رقم 54-15,120.00,18.0%
