كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-29-1,دواء بنادول اكسترا تشغيلة 29-1,51.50,15.5%
SKU-29-2,دواء بنادول اكسترا تشغيلة 29-2,52.50,15.5%
SKU-29-3,دواء بنادول اكسترا تشغيلة 29-3,53.50,15.5%
SKU-29-4,دواء بنادول اكسترا تشغيلة 29-4,54.50,15.5%
SKU-29-5,دواء بنادول اكسترا تشغيلة 29-5,55.50,15.5%
SKU-29-6,دواء بنادول اكسترا تشغيلة 29-6,56.50,15.5%
SKU-29-7,دواء بنادول اكسترا تشغيلة 29-7,57.50,15.5%
SKU-29-8,دواء بنادول اكسترا تشغيلة 29-8,58.50,15.5%
SKU-29-9,دواء بنادول اكسترا تشغيلة 29-9,59.50,15.5%
SKU-29-10,دواء بنادول اكسترا تشغيلة 29-10,60.50,15.5%
SKU-29-11,دواء بنادول اكسترا تشغيلة 29-11,61.50,15.5%
SKU-29-12,دواء بنادول اكسترا تشغيلة 29-12,62.50,15.5%
SKU-29-13,دواء بنادول اكسترا تشغيلة 29-13,63.50,15.5%
SKU-29-14,دواء بنادول اكسترا تشغيلة 29-14,64.50,15.5%
SKU-29-15,دواء بنادول اكسترا تشغيلة 29-15,65.50,15.5%
SKU-29-16,دواء بنادول اكسترا تشغيلة 29-16,66.50,15.5%
SKU-29-17,دواء بنادول اكسترا تشغيلة 29-17,67.50,15.5%
SKU-29-18,دواء بنادول اكسترا تشغيلة 29-18,68.50,15.5%
SKU-29-19,دواء بنادول اكسترا تشغيلة 29-19,69.50,15.5%
SKU-29-20,دواء بنادول اكسترا تشغيلة 29-20,70.50,15.5%
