كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-007-01,صنف تجريبي رقم 7-1,120.00,18.0%
SKU-007-02,صنف تجريبي رقم 7-2,120.00,18.0%
SKU-007-03,صنف تجريبي رقم 7-3,120.00,18.0%
SKU-007-04,صنف تجريبي رقم 7-4,120.00,18.0%
SKU-007-05,صنف تجريبي رقم 7-5,120.00,18.0%
SKU-007-06,صنف تجريبي رقم 7-6,120.00,18.0%
SKU-007-07,صنف تجريبي رقم 7-7,120.00,18.0%
SKU-007-08,صنف تجريبي رقم 7-8,120.00,18.0%
SKU-007-09,صنف تجريبي رقم 7-9,120.00,18.0%
SKU-007-10,صنف تجريبي رقم 7-10,120.00,18.0%
SKU-007-11,صنف تجريبي رقم 7-11,120.00,18.0%
SKU-007-12,صنف تجريبي رقم 7-12,120.00,18.0%
SKU-007-13,صنف تجريبي رقم 7-13,120.00,18.0%
SKU-007-14,صنف تجريبي رقم 7-14,120.00,18.0%
SKU-007-15,صنف تجريبي رقم 7-15,120.00,18.0%
