كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-079-01,صنف تجريبي رقم 79-1,120.00,18.0%
SKU-079-02,صنف تجريبي رقم 79-2,120.00,18.0%
SKU-079-03,صنف تجريبي رقم 79-3,120.00,18.0%
SKU-079-04,صنف تجريبي رقم 79-4,120.00,18.0%
SKU-079-05,صنف تجريبي رقم 79-5,120.00,18.0%
SKU-079-06,صنف تجريبي رقم 79-6,120.00,18.0%
SKU-079-07,صنف تجريبي رقم 79-7,120.00,18.0%
SKU-079-08,صنف تجريبي رقم 79-8,120.00,18.0%
SKU-079-09,صنف تجريبي رقم 79-9,120.00,18.0%
SKU-079-10,صنف تجريبي رقم 79-10,120.00,18.0%
SKU-079-11,صنف تجريبي رقم 79-11,120.00,18.0%
SKU-079-12,صنف تجريبي رقم 79-12,120.00,18.0%
SKU-079-13,صنف تجريبي رقم 79-13,120.00,18.0%
SKU-079-14,صنف تجريبي رقم 79-14,120.00,18.0%
SKU-079-15,صنف تجريبي رقم 79-15,120.00,18.0%
