كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-063-01,صنف تجريبي رقم 63-1,120.00,18.0%
SKU-063-02,صنف تجريبي رقم 63-2,120.00,18.0%
SKU-063-03,صنف تجريبي رقم 63-3,120.00,18.0%
SKU-063-04,صنف تجريبي رقم 63-4,120.00,18.0%
SKU-063-05,صنف تجريبي رقم 63-5,120.00,18.0%
SKU-063-06,صنف تجريبي رقم 63-6,120.00,18.0%
SKU-063-07,صنف تجريبي رقم 63-7,120.00,18.0%
SKU-063-08,صنف تجريبي رقم 63-8,120.00,18.0%
SKU-063-09,صنف تجريبي رقم 63-9,120.00,18.0%
SKU-063-10,صنف تجريبي رقم 63-10,120.00,18.0%
SKU-063-11,صنف تجريبي رقم 63-11,120.00,18.0%
SKU-063-12,صنف تجريبي رقم 63-12,120.00,18.0%
SKU-063-13,صنف تجريبي رقم 63-13,120.00,18.0%
SKU-063-14,صنف تجريبي رقم 63-14,120.00,18.0%
SKU-063-15,صنف تجريبي رقم 63-15,120.00,18.0%
