كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-025-01,صنف تجريبي رقم 25-1,120.00,18.0%
SKU-025-02,صنف تجريبي رقم 25-2,120.00,18.0%
SKU-025-03,صنف تجريبي رقم 25-3,120.00,18.0%
SKU-025-04,صنف تجريبي رقم 25-4,120.00,18.0%
SKU-025-05,صنف تجريبي رقم 25-5,120.00,18.0%
SKU-025-06,صنف تجريبي رقم 25-6,120.00,18.0%
SKU-025-07,صنف تجريبي رقم 25-7,120.00,18.0%
SKU-025-08,صنف تجريبي رقم 25-8,120.00,18.0%
SKU-025-09,صنف تجريبي رقم 25-9,120.00,18.0%
SKU-025-10,صنف تجريبي رقم 25-10,120.00,18.0%
SKU-025-11,صنف تجريبي رقم 25-11,120.00,18.0%
SKU-025-12,صنف تجريبي رقم 25-12,120.00,18.0%
SKU-025-13,صنف تجريبي رقم 25-13,120.00,18.0%
SKU-025-14,صنف تجريبي رقم 25-14,120.00,18.0%
SKU-025-15,صنف تجريبي رقم 25-15,120.00,18.0%
