كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-5-1,دواء بنادول اكسترا تشغيلة 5-1,51.50,15.5%
SKU-5-2,دواء بنادول اكسترا تشغيلة 5-2,52.50,15.5%
SKU-5-3,دواء بنادول اكسترا تشغيلة 5-3,53.50,15.5%
SKU-5-4,دواء بنادول اكسترا تشغيلة 5-4,54.50,15.5%
SKU-5-5,دواء بنادول اكسترا تشغيلة 5-5,55.50,15.5%
SKU-5-6,دواء بنادول اكسترا تشغيلة 5-6,56.50,15.5%
SKU-5-7,دواء بنادول اكسترا تشغيلة 5-7,57.50,15.5%
SKU-5-8,دواء بنادول اكسترا تشغيلة 5-8,58.50,15.5%
SKU-5-9,دواء بنادول اكسترا تشغيلة 5-9,59.50,15.5%
SKU-5-10,دواء بنادول اكسترا تشغيلة 5-10,60.50,15.5%
SKU-5-11,دواء بنادول اكسترا تشغيلة 5-11,61.50,15.5%
SKU-5-12,دواء بنادول اكسترا تشغيلة 5-12,62.50,15.5%
SKU-5-13,دواء بنادول اكسترا تشغيلة 5-13,63.50,15.5%
SKU-5-14,دواء بنادول اكسترا تشغيلة 5-14,64.50,15.5%
SKU-5-15,دواء بنادول اكسترا تشغيلة 5-15,65.50,15.5%
SKU-5-16,دواء بنادول اكسترا تشغيلة 5-16,66.50,15.5%
SKU-5-17,دواء بنادول اكسترا تشغيلة 5-17,67.50,15.5%
SKU-5-18,دواء بنادول اكسترا تشغيلة 5-18,68.50,15.5%
SKU-5-19,دواء بنادول اكسترا تشغيلة 5-19,69.50,15.5%
SKU-5-20,دواء بنادول اكسترا تشغيلة 5-20,70.50,15.5%
