كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-093-01,صنف تجريبي رقم 93-1,120.00,18.0%
SKU-093-02,صنف تجريبي رقم 93-2,120.00,18.0%
SKU-093-03,صنف تجريبي رقم 93-3,120.00,18.0%
SKU-093-04,صنف تجريبي رقم 93-4,120.00,18.0%
SKU-093-05,صنف تجريبي رقم 93-5,120.00,18.0%
SKU-093-06,صنف تجريبي رقم 93-6,120.00,18.0%
SKU-093-07,صنف تجريبي رقم 93-7,120.00,18.0%
SKU-093-08,صنف تجريبي رقم 93-8,120.00,18.0%
SKU-093-09,صنف تجريبي رقم 93-9,120.00,18.0%
SKU-093-10,صنف تجريبي رقم 93-10,120.00,18.0%
SKU-093-11,صنف تجريبي رقم 93-11,120.00,18.0%
SKU-093-12,صنف تجريبي رقم 93-12,120.00,18.0%
SKU-093-13,صنف تجريبي رقم 93-13,120.00,18.0%
SKU-093-14,صنف تجريبي رقم 93-14,120.00,18.0%
SKU-093-15,صنف تجريبي رقم 93-15,120.00,18.0%
