كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-089-01,صنف تجريبي رقم 89-1,120.00,18.0%
SKU-089-02,صنف تجريبي رقم 89-2,120.00,18.0%
SKU-089-03,صنف تجريبي رقم 89-3,120.00,18.0%
SKU-089-04,صنف تجريبي رقم 89-4,120.00,18.0%
SKU-089-05,صنف تجريبي رقم 89-5,120.00,18.0%
SKU-089-06,صنف تجريبي رقم 89-6,120.00,18.0%
SKU-089-07,صنف تجريبي رقم 89-7,120.00,18.0%
SKU-089-08,صنف تجريبي رقم 89-8,120.00,18.0%
SKU-089-09,صنف تجريبي رقم 89-9,120.00,18.0%
SKU-089-10,صنف تجريبي رقم 89-10,120.00,18.0%
SKU-089-11,صنف تجريبي رقم 89-11,120.00,18.0%
SKU-089-12,صنف تجريبي رقم 89-12,120.00,18.0%
SKU-089-13,صنف تجريبي رقم 89-13,120.00,18.0%
SKU-089-14,صنف تجريبي رقم 89-14,120.00,18.0%
SKU-089-15,صنف تجريبي رقم 89-15,120.00,18.0%
