كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-080-01,صنف تجريبي رقم 80-1,120.00,18.0%
SKU-080-02,صنف تجريبي رقم 80-2,120.00,18.0%
SKU-080-03,صنف تجريبي رقم 80-3,120.00,18.0%
SKU-080-04,صنف تجريبي رقم 80-4,120.00,18.0%
SKU-080-05,صنف تجريبي رقم 80-5,120.00,18.0%
SKU-080-06,صنف تجريبي رقم 80-6,120.00,18.0%
SKU-080-07,صنف تجريبي رقم 80-7,120.00,18.0%
SKU-080-08,صنف تجريبي رقم 80-8,120.00,18.0%
SKU-080-09,صنف تجريبي رقم 80-9,120.00,18.0%
SKU-080-10,صنف تجريبي رقم 80-10,120.00,18.0%
SKU-080-11,صنف تجريبي رقم 80-11,120.00,18.0%
SKU-080-12,صنف تجريبي رقم 80-12,120.00,18.0%
SKU-080-13,صنف تجريبي رقم 80-13,120.00,18.0%
SKU-080-14,صنف تجريبي رقم 80-14,120.00,18.0%
SKU-080-15,صنف تجريبي رقم 80-15,120.00,18.0%
