كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-17-1,دواء بنادول اكسترا تشغيلة 17-1,51.50,15.5%
SKU-17-2,دواء بنادول اكسترا تشغيلة 17-2,52.50,15.5%
SKU-17-3,دواء بنادول اكسترا تشغيلة 17-3,53.50,15.5%
SKU-17-4,دواء بنادول اكسترا تشغيلة 17-4,54.50,15.5%
SKU-17-5,دواء بنادول اكسترا تشغيلة 17-5,55.50,15.5%
SKU-17-6,دواء بنادول اكسترا تشغيلة 17-6,56.50,15.5%
SKU-17-7,دواء بنادول اكسترا تشغيلة 17-7,57.50,15.5%
SKU-17-8,دواء بنادول اكسترا تشغيلة 17-8,58.50,15.5%
SKU-17-9,دواء بنادول اكسترا تشغيلة 17-9,59.50,15.5%
SKU-17-10,دواء بنادول اكسترا تشغيلة 17-10,60.50,15.5%
SKU-17-11,دواء بنادول اكسترا تشغيلة 17-11,61.50,15.5%
SKU-17-12,دواء بنادول اكسترا تشغيلة 17-12,62.50,15.5%
SKU-17-13,دواء بنادول اكسترا تشغيلة 17-13,63.50,15.5%
SKU-17-14,دواء بنادول اكسترا تشغيلة 17-14,64.50,15.5%
SKU-17-15,دواء بنادول اكسترا تشغيلة 17-15,65.50,15.5%
SKU-17-16,دواء بنادول اكسترا تشغيلة 17-16,66.50,15.5%
SKU-17-17,دواء بنادول اكسترا تشغيلة 17-17,67.50,15.5%
SKU-17-18,دواء بنادول اكسترا تشغيلة 17-18,68.50,15.5%
SKU-17-19,دواء بنادول اكسترا تشغيلة 17-19,69.50,15.5%
SKU-17-20,دواء بنادول اكسترا تشغيلة 17-20,70.50,15.5%
