كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-9-1,دواء بنادول اكسترا تشغيلة 9-1,51.50,15.5%
SKU-9-2,دواء بنادول اكسترا تشغيلة 9-2,52.50,15.5%
SKU-9-3,دواء بنادول اكسترا تشغيلة 9-3,53.50,15.5%
SKU-9-4,دواء بنادول اكسترا تشغيلة 9-4,54.50,15.5%
SKU-9-5,دواء بنادول اكسترا تشغيلة 9-5,55.50,15.5%
SKU-9-6,دواء بنادول اكسترا تشغيلة 9-6,56.50,15.5%
SKU-9-7,دواء بنادول اكسترا تشغيلة 9-7,57.50,15.5%
SKU-9-8,دواء بنادول اكسترا تشغيلة 9-8,58.50,15.5%
SKU-9-9,دواء بنادول اكسترا تشغيلة 9-9,59.50,15.5%
SKU-9-10,دواء بنادول اكسترا تشغيلة 9-10,60.50,15.5%
SKU-9-11,دواء بنادول اكسترا تشغيلة 9-11,61.50,15.5%
SKU-9-12,دواء بنادول اكسترا تشغيلة 9-12,62.50,15.5%
SKU-9-13,دواء بنادول اكسترا تشغيلة 9-13,63.50,15.5%
SKU-9-14,دواء بنادول اكسترا تشغيلة 9-14,64.50,15.5%
SKU-9-15,دواء بنادول اكسترا تشغيلة 9-15,65.50,15.5%
SKU-9-16,دواء بنادول اكسترا تشغيلة 9-16,66.50,15.5%
SKU-9-17,دواء بنادول اكسترا تشغيلة 9-17,67.50,15.5%
SKU-9-18,دواء بنادول اكسترا تشغيلة 9-18,68.50,15.5%
SKU-9-19,دواء بنادول اكسترا تشغيلة 9-19,69.50,15.5%
SKU-9-20,دواء بنادول اكسترا تشغيلة 9-20,70.50,15.5%
