كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-058-01,صنف تجريبي رقم 58-1,120.00,18.0%
SKU-058-02,صنف تجريبي رقم 58-2,120.00,18.0%
SKU-058-03,صنف تجريبي رقم 58-3,120.00,18.0%
SKU-058-04,صنف تجريبي رقم 58-4,120.00,18.0%
SKU-058-05,صنف تجريبي رقم 58-5,120.00,18.0%
SKU-058-06,صنف تجريبي رقم 58-6,120.00,18.0%
SKU-058-07,صنف تجريبي رقم 58-7,120.00,18.0%
SKU-058-08,صنف تجريبي رقم 58-8,120.00,18.0%
SKU-058-09,صنف تجريبي رقم 58-9,120.00,18.0%
SKU-058-10,صنف تجريبي رقم 58-10,120.00,18.0%
SKU-058-11,صنف تجريبي رقم 58-11,120.00,18.0%
SKU-058-12,صنف تجريبي رقم 58-12,120.00,18.0%
SKU-058-13,صنف تجريبي رقم 58-13,120.00,18.0%
SKU-058-14,صنف تجريبي رقم 58-14,120.00,18.0%
SKU-058-15,صنف تجريبي رقم 58-15,120.00,18.0%
