كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-51-1,دواء بنادول اكسترا تشغيلة 51-1,51.50,15.5%
SKU-51-2,دواء بنادول اكسترا تشغيلة 51-2,52.50,15.5%
SKU-51-3,دواء بنادول اكسترا تشغيلة 51-3,53.50,15.5%
SKU-51-4,دواء بنادول اكسترا تشغيلة 51-4,54.50,15.5%
SKU-51-5,دواء بنادول اكسترا تشغيلة 51-5,55.50,15.5%
SKU-51-6,دواء بنادول اكسترا تشغيلة 51-6,56.50,15.5%
SKU-51-7,دواء بنادول اكسترا تشغيلة 51-7,57.50,15.5%
SKU-51-8,دواء بنادول اكسترا تشغيلة 51-8,58.50,15.5%
SKU-51-9,دواء بنادول اكسترا تشغيلة 51-9,59.50,15.5%
SKU-51-10,دواء بنادول اكسترا تشغيلة 51-10,60.50,15.5%
SKU-51-11,دواء بنادول اكسترا تشغيلة 51-11,61.50,15.5%
SKU-51-12,دواء بنادول اكسترا تشغيلة 51-12,62.50,15.5%
SKU-51-13,دواء بنادول اكسترا تشغيلة 51-13,63.50,15.5%
SKU-51-14,دواء بنادول اكسترا تشغيلة 51-14,64.50,15.5%
SKU-51-15,دواء بنادول اكسترا تشغيلة 51-15,65.50,15.5%
SKU-51-16,دواء بنادول اكسترا تشغيلة 51-16,66.50,15.5%
SKU-51-17,دواء بنادول اكسترا تشغيلة 51-17,67.50,15.5%
SKU-51-18,دواء بنادول اكسترا تشغيلة 51-18,68.50,15.5%
SKU-51-19,دواء بنادول اكسترا تشغيلة 51-19,69.50,15.5%
SKU-51-20,دواء بنادول اكسترا تشغيلة 51-20,70.50,15.5%
