كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-067-01,صنف تجريبي رقم 67-1,120.00,18.0%
SKU-067-02,صنف تجريبي رقم 67-2,120.00,18.0%
SKU-067-03,صنف تجريبي رقم 67-3,120.00,18.0%
SKU-067-04,صنف تجريبي رقم 67-4,120.00,18.0%
SKU-067-05,صنف تجريبي رقم 67-5,120.00,18.0%
SKU-067-06,صنف تجريبي رقم 67-6,120.00,18.0%
SKU-067-07,صنف تجريبي رقم 67-7,120.00,18.0%
SKU-067-08,صنف تجريبي رقم 67-8,120.00,18.0%
SKU-067-09,صنف تجريبي رقم 67-9,120.00,18.0%
SKU-067-10,صنف تجريبي رقم 67-10,120.00,18.0%
SKU-067-11,صنف تجريبي رقم 67-11,120.00,18.0%
SKU-067-12,صنف تجريبي رقم 67-12,120.00,18.0%
SKU-067-13,صنف تجريبي رقم 67-13,120.00,18.0%
SKU-067-14,صنف تجريبي رقم 67-14,120.00,18.0%
SKU-067-15,صنف تجريبي رقم 67-15,120.00,18.0%
