كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-048-01,صنف تجريبي رقم 48-1,120.00,18.0%
SKU-048-02,صنف تجريبي رقم 48-2,120.00,18.0%
SKU-048-03,صنف تجريبي رقم 48-3,120.00,18.0%
SKU-048-04,صنف تجريبي رقم 48-4,120.00,18.0%
SKU-048-05,صنف تجريبي رقم 48-5,120.00,18.0%
SKU-048-06,صنف تجريبي رقم 48-6,120.00,18.0%
SKU-048-07,صنف تجريبي رقم 48-7,120.00,18.0%
SKU-048-08,صنف تجريبي رقم 48-8,120.00,18.0%
SKU-048-09,صنف تجريبي رقم 48-9,120.00,18.0%
SKU-048-10,صنف تجريبي رقم 48-10,120.00,18.0%
SKU-048-11,صنف تجريبي رقم 48-11,120.00,18.0%
SKU-048-12,صنف تجريبي رقم 48-12,120.00,18.0%
SKU-048-13,صنف تجريبي رقم 48-13,120.00,18.0%
SKU-048-14,صنف تجريبي رقم 48-14,120.00,18.0%
SKU-048-15,صنف تجريبي رقم 48-15,120.00,18.0%
