كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-049-01,صنف تجريبي رقم 49-1,120.00,18.0%
SKU-049-02,صنف تجريبي رقم 49-2,120.00,18.0%
SKU-049-03,صنف تجريبي رقم 49-3,120.00,18.0%
SKU-049-04,صنف تجريبي رقم 49-4,120.00,18.0%
SKU-049-05,صنف تجريبي رقم 49-5,120.00,18.0%
SKU-049-06,صنف تجريبي رقم 49-6,120.00,18.0%
SKU-049-07,صنف تجريبي رقم 49-7,120.00,18.0%
SKU-049-08,صنف تجريبي رقم 49-8,120.00,18.0%
SKU-049-09,صنف تجريبي رقم 49-9,120.00,18.0%
SKU-049-10,صنف تجريبي رقم 49-10,120.00,18.0%
SKU-049-11,صنف تجريبي رقم 49-11,120.00,18.0%
SKU-049-12,صنف تجريبي رقم 49-12,120.00,18.0%
SKU-049-13,صنف تجريبي رقم 49-13,120.00,18.0%
SKU-049-14,صنف تجريبي رقم 49-14,120.00,18.0%
SKU-049-15,صنف تجريبي رقم 49-15,120.00,18.0%
