كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-060-01,صنف تجريبي رقم 60-1,120.00,18.0%
SKU-060-02,صنف تجريبي رقم 60-2,120.00,18.0%
SKU-060-03,صنف تجريبي رقم 60-3,120.00,18.0%
SKU-060-04,صنف تجريبي رقم 60-4,120.00,18.0%
SKU-060-05,صنف تجريبي رقم 60-5,120.00,18.0%
SKU-060-06,صنف تجريبي رقم 60-6,120.00,18.0%
SKU-060-07,صنف تجريبي رقم 60-7,120.00,18.0%
SKU-060-08,صنف تجريبي رقم 60-8,120.00,18.0%
SKU-060-09,صنف تجريبي رقم 60-9,120.00,18.0%
SKU-060-10,صنف تجريبي رقم 60-10,120.00,18.0%
SKU-060-11,صنف تجريبي رقم 60-11,120.00,18.0%
SKU-060-12,صنف تجريبي رقم 60-12,120.00,18.0%
SKU-060-13,صنف تجريبي رقم 60-13,120.00,18.0%
SKU-060-14,صنف تجريبي رقم 60-14,120.00,18.0%
SKU-060-15,صنف تجريبي رقم 60-15,120.00,18.0%
