كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-28-1,دواء بنادول اكسترا تشغيلة 28-1,51.50,15.5%
SKU-28-2,دواء بنادول اكسترا تشغيلة 28-2,52.50,15.5%
SKU-28-3,دواء بنادول اكسترا تشغيلة 28-3,53.50,15.5%
SKU-28-4,دواء بنادول اكسترا تشغيلة 28-4,54.50,15.5%
SKU-28-5,دواء بنادول اكسترا تشغيلة 28-5,55.50,15.5%
SKU-28-6,دواء بنادول اكسترا تشغيلة 28-6,56.50,15.5%
SKU-28-7,دواء بنادول اكسترا تشغيلة 28-7,57.50,15.5%
SKU-28-8,دواء بنادول اكسترا تشغيلة 28-8,58.50,15.5%
SKU-28-9,دواء بنادول اكسترا تشغيلة 28-9,59.50,15.5%
SKU-28-10,دواء بنادول اكسترا تشغيلة 28-10,60.50,15.5%
SKU-28-11,دواء بنادول اكسترا تشغيلة 28-11,61.50,15.5%
SKU-28-12,دواء بنادول اكسترا تشغيلة 28-12,62.50,15.5%
SKU-28-13,دواء بنادول اكسترا تشغيلة 28-13,63.50,15.5%
SKU-28-14,دواء بنادول اكسترا تشغيلة 28-14,64.50,15.5%
SKU-28-15,دواء بنادول اكسترا تشغيلة 28-15,65.50,15.5%
SKU-28-16,دواء بنادول اكسترا تشغيلة 28-16,66.50,15.5%
SKU-28-17,دواء بنادول اكسترا تشغيلة 28-17,67.50,15.5%
SKU-28-18,دواء بنادول اكسترا تشغيلة 28-18,68.50,15.5%
SKU-28-19,دواء بنادول اكسترا تشغيلة 28-19,69.50,15.5%
SKU-28-20,دواء بنادول اكسترا تشغيلة 28-20,70.50,15.5%
