كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-057-01,صنف تجريبي رقم 57-1,120.00,18.0%
SKU-057-02,صنف تجريبي رقم 57-2,120.00,18.0%
SKU-057-03,صنف تجريبي رقم 57-3,120.00,18.0%
SKU-057-04,صنف تجريبي رقم 57-4,120.00,18.0%
SKU-057-05,صنف تجريبي رقم 57-5,120.00,18.0%
SKU-057-06,صنف تجريبي رقم 57-6,120.00,18.0%
SKU-057-07,صنف تجريبي رقم 57-7,120.00,18.0%
SKU-057-08,صنف تجريبي رقم 57-8,120.00,18.0%
SKU-057-09,صنف تجريبي رقم 57-9,120.00,18.0%
SKU-057-10,صنف تجريبي رقم 57-10,120.00,18.0%
SKU-057-11,صنف تجريبي رقم 57-11,120.00,18.0%
SKU-057-12,صنف تجريبي رقم 57-12,120.00,18.0%
SKU-057-13,صنف تجريبي رقم 57-13,120.00,18.0%
SKU-057-14,صنف تجريبي رقم 57-14,120.00,18.0%
SKU-057-15,صنف تجريبي رقم 57-15,120.00,18.0%
