كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-098-01,صنف تجريبي رقم 98-1,120.00,18.0%
SKU-098-02,صنف تجريبي رقم 98-2,120.00,18.0%
SKU-098-03,صنف تجريبي رقم 98-3,120.00,18.0%
SKU-098-04,صنف تجريبي رقم 98-4,120.00,18.0%
SKU-098-05,صنف تجريبي رقم 98-5,120.00,18.0%
SKU-098-06,صنف تجريبي رقم 98-6,120.00,18.0%
SKU-098-07,صنف تجريبي رقم 98-7,120.00,18.0%
SKU-098-08,صنف تجريبي رقم 98-8,120.00,18.0%
SKU-098-09,صنف تجريبي رقم 98-9,120.00,18.0%
SKU-098-10,صنف تجريبي رقم 98-10,120.00,18.0%
SKU-098-11,صنف تجريبي رقم 98-11,120.00,18.0%
SKU-098-12,صنف تجريبي رقم 98-12,120.00,18.0%
SKU-098-13,صنف تجريبي رقم 98-13,120.00,18.0%
SKU-098-14,صنف تجريبي رقم 98-14,120.00,18.0%
SKU-098-15,صنف تجريبي رقم 98-15,120.00,18.0%
