كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-038-01,صنف تجريبي رقم 38-1,120.00,18.0%
SKU-038-02,صنف تجريبي رقم 38-2,120.00,18.0%
SKU-038-03,صنف تجريبي رقم 38-3,120.00,18.0%
SKU-038-04,صنف تجريبي رقم 38-4,120.00,18.0%
SKU-038-05,صنف تجريبي رقم 38-5,120.00,18.0%
SKU-038-06,صنف تجريبي رقم 38-6,120.00,18.0%
SKU-038-07,صنف تجريبي رقم 38-7,120.00,18.0%
SKU-038-08,صنف تجريبي رقم 38-8,120.00,18.0%
SKU-038-09,صنف تجريبي رقم 38-9,120.00,18.0%
SKU-038-10,صنف تجريبي رقم 38-10,120.00,18.0%
SKU-038-11,صنف تجريبي رقم 38-11,120.00,18.0%
SKU-038-12,صنف تجريبي رقم 38-12,120.00,18.0%
SKU-038-13,صنف تجريبي رقم 38-13,120.00,18.0%
SKU-038-14,صنف تجريبي رقم 38-14,120.00,18.0%
SKU-038-15,صنف تجريبي رقم 38-15,120.00,18.0%
