كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-37-1,دواء بنادول اكسترا تشغيلة 37-1,51.50,15.5%
SKU-37-2,دواء بنادول اكسترا تشغيلة 37-2,52.50,15.5%
SKU-37-3,دواء بنادول اكسترا تشغيلة 37-3,53.50,15.5%
SKU-37-4,دواء بنادول اكسترا تشغيلة 37-4,54.50,15.5%
SKU-37-5,دواء بنادول اكسترا تشغيلة 37-5,55.50,15.5%
SKU-37-6,دواء بنادول اكسترا تشغيلة 37-6,56.50,15.5%
SKU-37-7,دواء بنادول اكسترا تشغيلة 37-7,57.50,15.5%
SKU-37-8,دواء بنادول اكسترا تشغيلة 37-8,58.50,15.5%
SKU-37-9,دواء بنادول اكسترا تشغيلة 37-9,59.50,15.5%
SKU-37-10,دواء بنادول اكسترا تشغيلة 37-10,60.50,15.5%
SKU-37-11,دواء بنادول اكسترا تشغيلة 37-11,61.50,15.5%
SKU-37-12,دواء بنادول اكسترا تشغيلة 37-12,62.50,15.5%
SKU-37-13,دواء بنادول اكسترا تشغيلة 37-13,63.50,15.5%
SKU-37-14,دواء بنادول اكسترا تشغيلة 37-14,64.50,15.5%
SKU-37-15,دواء بنادول اكسترا تشغيلة 37-15,65.50,15.5%
SKU-37-16,دواء بنادول اكسترا تشغيلة 37-16,66.50,15.5%
SKU-37-17,دواء بنادول اكسترا تشغيلة 37-17,67.50,15.5%
SKU-37-18,دواء بنادول اكسترا تشغيلة 37-18,68.50,15.5%
SKU-37-19,دواء بنادول اكسترا تشغيلة 37-19,69.50,15.5%
SKU-37-20,دواء بنادول اكسترا تشغيلة 37-20,70.50,15.5%
