كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-1-1,دواء بنادول اكسترا تشغيلة 1-1,51.50,15.5%
SKU-1-2,دواء بنادول اكسترا تشغيلة 1-2,52.50,15.5%
SKU-1-3,دواء بنادول اكسترا تشغيلة 1-3,53.50,15.5%
SKU-1-4,دواء بنادول اكسترا تشغيلة 1-4,54.50,15.5%
SKU-1-5,دواء بنادول اكسترا تشغيلة 1-5,55.50,15.5%
SKU-1-6,دواء بنادول اكسترا تشغيلة 1-6,56.50,15.5%
SKU-1-7,دواء بنادول اكسترا تشغيلة 1-7,57.50,15.5%
SKU-1-8,دواء بنادول اكسترا تشغيلة 1-8,58.50,15.5%
SKU-1-9,دواء بنادول اكسترا تشغيلة 1-9,59.50,15.5%
SKU-1-10,دواء بنادول اكسترا تشغيلة 1-10,60.50,15.5%
SKU-1-11,دواء بنادول اكسترا تشغيلة 1-11,61.50,15.5%
SKU-1-12,دواء بنادول اكسترا تشغيلة 1-12,62.50,15.5%
SKU-1-13,دواء بنادول اكسترا تشغيلة 1-13,63.50,15.5%
SKU-1-14,دواء بنادول اكسترا تشغيلة 1-14,64.50,15.5%
SKU-1-15,دواء بنادول اكسترا تشغيلة 1-15,65.50,15.5%
SKU-1-16,دواء بنادول اكسترا تشغيلة 1-16,66.50,15.5%
SKU-1-17,دواء بنادول اكسترا تشغيلة 1-17,67.50,15.5%
SKU-1-18,دواء بنادول اكسترا تشغيلة 1-18,68.50,15.5%
SKU-1-19,دواء بنادول اكسترا تشغيلة 1-19,69.50,15.5%
SKU-1-20,دواء بنادول اكسترا تشغيلة 1-20,70.50,15.5%
