كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-015-01,صنف تجريبي رقم 15-1,120.00,18.0%
SKU-015-02,صنف تجريبي رقم 15-2,120.00,18.0%
SKU-015-03,صنف تجريبي رقم 15-3,120.00,18.0%
SKU-015-04,صنف تجريبي رقم 15-4,120.00,18.0%
SKU-015-05,صنف تجريبي رقم 15-5,120.00,18.0%
SKU-015-06,صنف تجريبي رقم 15-6,120.00,18.0%
SKU-015-07,صنف تجريبي رقم 15-7,120.00,18.0%
SKU-015-08,صنف تجريبي رقم 15-8,120.00,18.0%
SKU-015-09,صنف تجريبي رقم 15-9,120.00,18.0%
SKU-015-10,صنف تجريبي رقم 15-10,120.00,18.0%
SKU-015-11,صنف تجريبي رقم 15-11,120.00,18.0%
SKU-015-12,صنف تجريبي رقم 15-12,120.00,18.0%
SKU-015-13,صنف تجريبي رقم 15-13,120.00,18.0%
SKU-015-14,صنف تجريبي رقم 15-14,120.00,18.0%
SKU-015-15,صنف تجريبي رقم 15-15,120.00,18.0%
