كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-045-01,صنف تجريبي رقم 45-1,120.00,18.0%
SKU-045-02,صنف تجريبي رقم 45-2,120.00,18.0%
SKU-045-03,صنف تجريبي رقم 45-3,120.00,18.0%
SKU-045-04,صنف تجريبي رقم 45-4,120.00,18.0%
SKU-045-05,صنف تجريبي رقم 45-5,120.00,18.0%
SKU-045-06,صنف تجريبي رقم 45-6,120.00,18.0%
SKU-045-07,صنف تجريبي رقم 45-7,120.00,18.0%
SKU-045-08,صنف تجريبي رقم 45-8,120.00,18.0%
SKU-045-09,صنف تجريبي رقم 45-9,120.00,18.0%
SKU-045-10,صنف تجريبي رقم 45-10,120.00,18.0%
SKU-045-11,صنف تجريبي رقم 45-11,120.00,18.0%
SKU-045-12,صنف تجريبي رقم 45-12,120.00,18.0%
SKU-045-13,صنف تجريبي رقم 45-13,120.00,18.0%
SKU-045-14,صنف تجريبي رقم 45-14,120.00,18.0%
SKU-045-15,صنف تجريبي رقم 45-15,120.00,18.0%
