كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-60-1,دواء بنادول اكسترا تشغيلة 60-1,51.50,15.5%
SKU-60-2,دواء بنادول اكسترا تشغيلة 60-2,52.50,15.5%
SKU-60-3,دواء بنادول اكسترا تشغيلة 60-3,53.50,15.5%
SKU-60-4,دواء بنادول اكسترا تشغيلة 60-4,54.50,15.5%
SKU-60-5,دواء بنادول اكسترا تشغيلة 60-5,55.50,15.5%
SKU-60-6,دواء بنادول اكسترا تشغيلة 60-6,56.50,15.5%
SKU-60-7,دواء بنادول اكسترا تشغيلة 60-7,57.50,15.5%
SKU-60-8,دواء بنادول اكسترا تشغيلة 60-8,58.50,15.5%
SKU-60-9,دواء بنادول اكسترا تشغيلة 60-9,59.50,15.5%
SKU-60-10,دواء بنادول اكسترا تشغيلة 60-10,60.50,15.5%
SKU-60-11,دواء بنادول اكسترا تشغيلة 60-11,61.50,15.5%
SKU-60-12,دواء بنادول اكسترا تشغيلة 60-12,62.50,15.5%
SKU-60-13,دواء بنادول اكسترا تشغيلة 60-13,63.50,15.5%
SKU-60-14,دواء بنادول اكسترا تشغيلة 60-14,64.50,15.5%
SKU-60-15,دواء بنادول اكسترا تشغيلة 60-15,65.50,15.5%
SKU-60-16,دواء بنادول اكسترا تشغيلة 60-16,66.50,15.5%
SKU-60-17,دواء بنادول اكسترا تشغيلة 60-17,67.50,15.5%
SKU-60-18,دواء بنادول اكسترا تشغيلة 60-18,68.50,15.5%
SKU-60-19,دواء بنادول اكسترا تشغيلة 60-19,69.50,15.5%
SKU-60-20,دواء بنادول اكسترا تشغيلة 60-20,70.50,15.5%
