كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-043-01,صنف تجريبي رقم 43-1,120.00,18.0%
SKU-043-02,صنف تجريبي رقم 43-2,120.00,18.0%
SKU-043-03,صنف تجريبي رقم 43-3,120.00,18.0%
SKU-043-04,صنف تجريبي رقم 43-4,120.00,18.0%
SKU-043-05,صنف تجريبي رقم 43-5,120.00,18.0%
SKU-043-06,صنف تجريبي رقم 43-6,120.00,18.0%
SKU-043-07,صنف تجريبي رقم 43-7,120.00,18.0%
SKU-043-08,صنف تجريبي رقم 43-8,120.00,18.0%
SKU-043-09,صنف تجريبي رقم 43-9,120.00,18.0%
SKU-043-10,صنف تجريبي رقم 43-10,120.00,18.0%
SKU-043-11,صنف تجريبي رقم 43-11,120.00,18.0%
SKU-043-12,صنف تجريبي رقم 43-12,120.00,18.0%
SKU-043-13,صنف تجريبي رقم 43-13,120.00,18.0%
SKU-043-14,صنف تجريبي رقم 43-14,120.00,18.0%
SKU-043-15,صنف تجريبي رقم 43-15,120.00,18.0%
