كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-26-1,دواء بنادول اكسترا تشغيلة 26-1,51.50,15.5%
SKU-26-2,دواء بنادول اكسترا تشغيلة 26-2,52.50,15.5%
SKU-26-3,دواء بنادول اكسترا تشغيلة 26-3,53.50,15.5%
SKU-26-4,دواء بنادول اكسترا تشغيلة 26-4,54.50,15.5%
SKU-26-5,دواء بنادول اكسترا تشغيلة 26-5,55.50,15.5%
SKU-26-6,دواء بنادول اكسترا تشغيلة 26-6,56.50,15.5%
SKU-26-7,دواء بنادول اكسترا تشغيلة 26-7,57.50,15.5%
SKU-26-8,دواء بنادول اكسترا تشغيلة 26-8,58.50,15.5%
SKU-26-9,دواء بنادول اكسترا تشغيلة 26-9,59.50,15.5%
SKU-26-10,دواء بنادول اكسترا تشغيلة 26-10,60.50,15.5%
SKU-26-11,دواء بنادول اكسترا تشغيلة 26-11,61.50,15.5%
SKU-26-12,دواء بنادول اكسترا تشغيلة 26-12,62.50,15.5%
SKU-26-13,دواء بنادول اكسترا تشغيلة 26-13,63.50,15.5%
SKU-26-14,دواء بنادول اكسترا تشغيلة 26-14,64.50,15.5%
SKU-26-15,دواء بنادول اكسترا تشغيلة 26-15,65.50,15.5%
SKU-26-16,دواء بنادول اكسترا تشغيلة 26-16,66.50,15.5%
SKU-26-17,دواء بنادول اكسترا تشغيلة 26-17,67.50,15.5%
SKU-26-18,دواء بنادول اكسترا تشغيلة 26-18,68.50,15.5%
SKU-26-19,دواء بنادول اكسترا تشغيلة 26-19,69.50,15.5%
SKU-26-20,دواء بنادول اكسترا تشغيلة 26-20,70.50,15.5%
