كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-006-01,صنف تجريبي رقم 6-1,120.00,18.0%
SKU-006-02,صنف تجريبي رقم 6-2,120.00,18.0%
SKU-006-03,صنف تجريبي رقم 6-3,120.00,18.0%
SKU-006-04,صنف تجريبي رقم 6-4,120.00,18.0%
SKU-006-05,صنف تجريبي رقم 6-5,120.00,18.0%
SKU-006-06,صنف تجريبي رقم 6-6,120.00,18.0%
SKU-006-07,صنف تجريبي رقم 6-7,120.00,18.0%
SKU-006-08,صنف تجريبي رقم 6-8,120.00,18.0%
SKU-006-09,صنف تجريبي رقم 6-9,120.00,18.0%
SKU-006-10,صنف تجريبي رقم 6-10,120.00,18.0%
SKU-006-11,صنف تجريبي رقم 6-11,120.00,18.0%
SKU-006-12,صنف تجريبي رقم 6-12,120.00,18.0%
SKU-006-13,صنف تجريبي رقم 6-13,120.00,18.0%
SKU-006-14,صنف تجريبي رقم 6-14,120.00,18.0%
SKU-006-15,صنف تجريبي رقم 6-15,120.00,18.0%
