كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-46-1,دواء بنادول اكسترا تشغيلة 46-1,51.50,15.5%
SKU-46-2,دواء بنادول اكسترا تشغيلة 46-2,52.50,15.5%
SKU-46-3,دواء بنادول اكسترا تشغيلة 46-3,53.50,15.5%
SKU-46-4,دواء بنادول اكسترا تشغيلة 46-4,54.50,15.5%
SKU-46-5,دواء بنادول اكسترا تشغيلة 46-5,55.50,15.5%
SKU-46-6,دواء بنادول اكسترا تشغيلة 46-6,56.50,15.5%
SKU-46-7,دواء بنادول اكسترا تشغيلة 46-7,57.50,15.5%
SKU-46-8,دواء بنادول اكسترا تشغيلة 46-8,58.50,15.5%
SKU-46-9,دواء بنادول اكسترا تشغيلة 46-9,59.50,15.5%
SKU-46-10,دواء بنادول اكسترا تشغيلة 46-10,60.50,15.5%
SKU-46-11,دواء بنادول اكسترا تشغيلة 46-11,61.50,15.5%
SKU-46-12,دواء بنادول اكسترا تشغيلة 46-12,62.50,15.5%
SKU-46-13,دواء بنادول اكسترا تشغيلة 46-13,63.50,15.5%
SKU-46-14,دواء بنادول اكسترا تشغيلة 46-14,64.50,15.5%
SKU-46-15,دواء بنادول اكسترا تشغيلة 46-15,65.50,15.5%
SKU-46-16,دواء بنادول اكسترا تشغيلة 46-16,66.50,15.5%
SKU-46-17,دواء بنادول اكسترا تشغيلة 46-17,67.50,15.5%
SKU-46-18,دواء بنادول اكسترا تشغيلة 46-18,68.50,15.5%
SKU-46-19,دواء بنادول اكسترا تشغيلة 46-19,69.50,15.5%
SKU-46-20,دواء بنادول اكسترا تشغيلة 46-20,70.50,15.5%
