كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-028-01,صنف تجريبي رقم 28-1,120.00,18.0%
SKU-028-02,صنف تجريبي رقم 28-2,120.00,18.0%
SKU-028-03,صنف تجريبي رقم 28-3,120.00,18.0%
SKU-028-04,صنف تجريبي رقم 28-4,120.00,18.0%
SKU-028-05,صنف تجريبي رقم 28-5,120.00,18.0%
SKU-028-06,صنف تجريبي رقم 28-6,120.00,18.0%
SKU-028-07,صنف تجريبي رقم 28-7,120.00,18.0%
SKU-028-08,صنف تجريبي رقم 28-8,120.00,18.0%
SKU-028-09,صنف تجريبي رقم 28-9,120.00,18.0%
SKU-028-10,صنف تجريبي رقم 28-10,120.00,18.0%
SKU-028-11,صنف تجريبي رقم 28-11,120.00,18.0%
SKU-028-12,صنف تجريبي رقم 28-12,120.00,18.0%
SKU-028-13,صنف تجريبي رقم 28-13,120.00,18.0%
SKU-028-14,صنف تجريبي رقم 28-14,120.00,18.0%
SKU-028-15,صنف تجريبي رقم 28-15,120.00,18.0%
