كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-003-01,صنف تجريبي رقم 3-1,120.00,18.0%
SKU-003-02,صنف تجريبي رقم 3-2,120.00,18.0%
SKU-003-03,صنف تجريبي رقم 3-3,120.00,18.0%
SKU-003-04,صنف تجريبي رقم 3-4,120.00,18.0%
SKU-003-05,صنف تجريبي رقم 3-5,120.00,18.0%
SKU-003-06,صنف تجريبي رقم 3-6,120.00,18.0%
SKU-003-07,صنف تجريبي رقم 3-7,120.00,18.0%
SKU-003-08,صنف تجريبي رقم 3-8,120.00,18.0%
SKU-003-09,صنف تجريبي رقم 3-9,120.00,18.0%
SKU-003-10,صنف تجريبي رقم 3-10,120.00,18.0%
SKU-003-11,صنف تجريبي رقم 3-11,120.00,18.0%
SKU-003-12,صنف تجريبي رقم 3-12,120.00,18.0%
SKU-003-13,صنف تجريبي رقم 3-13,120.00,18.0%
SKU-003-14,صنف تجريبي رقم 3-14,120.00,18.0%
SKU-003-15,صنف تجريبي رقم 3-15,120.00,18.0%
