كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-7-1,دواء بنادول اكسترا تشغيلة 7-1,51.50,15.5%
SKU-7-2,دواء بنادول اكسترا تشغيلة 7-2,52.50,15.5%
SKU-7-3,دواء بنادول اكسترا تشغيلة 7-3,53.50,15.5%
SKU-7-4,دواء بنادول اكسترا تشغيلة 7-4,54.50,15.5%
SKU-7-5,دواء بنادول اكسترا تشغيلة 7-5,55.50,15.5%
SKU-7-6,دواء بنادول اكسترا تشغيلة 7-6,56.50,15.5%
SKU-7-7,دواء بنادول اكسترا تشغيلة 7-7,57.50,15.5%
SKU-7-8,دواء بنادول اكسترا تشغيلة 7-8,58.50,15.5%
SKU-7-9,دواء بنادول اكسترا تشغيلة 7-9,59.50,15.5%
SKU-7-10,دواء بنادول اكسترا تشغيلة 7-10,60.50,15.5%
SKU-7-11,دواء بنادول اكسترا تشغيلة 7-11,61.50,15.5%
SKU-7-12,دواء بنادول اكسترا تشغيلة 7-12,62.50,15.5%
SKU-7-13,دواء بنادول اكسترا تشغيلة 7-13,63.50,15.5%
SKU-7-14,دواء بنادول اكسترا تشغيلة 7-14,64.50,15.5%
SKU-7-15,دواء بنادول اكسترا تشغيلة 7-15,65.50,15.5%
SKU-7-16,دواء بنادول اكسترا تشغيلة 7-16,66.50,15.5%
SKU-7-17,دواء بنادول اكسترا تشغيلة 7-17,67.50,15.5%
SKU-7-18,دواء بنادول اكسترا تشغيلة 7-18,68.50,15.5%
SKU-7-19,دواء بنادول اكسترا تشغيلة 7-19,69.50,15.5%
SKU-7-20,دواء بنادول اكسترا تشغيلة 7-20,70.50,15.5%
