كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-047-01,صنف تجريبي رقم 47-1,120.00,18.0%
SKU-047-02,صنف تجريبي رقم 47-2,120.00,18.0%
SKU-047-03,صنف تجريبي رقم 47-3,120.00,18.0%
SKU-047-04,صنف تجريبي رقم 47-4,120.00,18.0%
SKU-047-05,صنف تجريبي رقم 47-5,120.00,18.0%
SKU-047-06,صنف تجريبي رقم 47-6,120.00,18.0%
SKU-047-07,صنف تجريبي رقم 47-7,120.00,18.0%
SKU-047-08,صنف تجريبي رقم 47-8,120.00,18.0%
SKU-047-09,صنف تجريبي رقم 47-9,120.00,18.0%
SKU-047-10,صنف تجريبي رقم 47-10,120.00,18.0%
SKU-047-11,صنف تجريبي رقم 47-11,120.00,18.0%
SKU-047-12,صنف تجريبي رقم 47-12,120.00,18.0%
SKU-047-13,صنف تجريبي رقم 47-13,120.00,18.0%
SKU-047-14,صنف تجريبي رقم 47-14,120.00,18.0%
SKU-047-15,صنف تجريبي رقم 47-15,120.00,18.0%
