كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-42-1,دواء بنادول اكسترا تشغيلة 42-1,51.50,15.5%
SKU-42-2,دواء بنادول اكسترا تشغيلة 42-2,52.50,15.5%
SKU-42-3,دواء بنادول اكسترا تشغيلة 42-3,53.50,15.5%
SKU-42-4,دواء بنادول اكسترا تشغيلة 42-4,54.50,15.5%
SKU-42-5,دواء بنادول اكسترا تشغيلة 42-5,55.50,15.5%
SKU-42-6,دواء بنادول اكسترا تشغيلة 42-6,56.50,15.5%
SKU-42-7,دواء بنادول اكسترا تشغيلة 42-7,57.50,15.5%
SKU-42-8,دواء بنادول اكسترا تشغيلة 42-8,58.50,15.5%
SKU-42-9,دواء بنادول اكسترا تشغيلة 42-9,59.50,15.5%
SKU-42-10,دواء بنادول اكسترا تشغيلة 42-10,60.50,15.5%
SKU-42-11,دواء بنادول اكسترا تشغيلة 42-11,61.50,15.5%
SKU-42-12,دواء بنادول اكسترا تشغيلة 42-12,62.50,15.5%
SKU-42-13,دواء بنادول اكسترا تشغيلة 42-13,63.50,15.5%
SKU-42-14,دواء بنادول اكسترا تشغيلة 42-14,64.50,15.5%
SKU-42-15,دواء بنادول اكسترا تشغيلة 42-15,65.50,15.5%
SKU-42-16,دواء بنادول اكسترا تشغيلة 42-16,66.50,15.5%
SKU-42-17,دواء بنادول اكسترا تشغيلة 42-17,67.50,15.5%
SKU-42-18,دواء بنادول اكسترا تشغيلة 42-18,68.50,15.5%
SKU-42-19,دواء بنادول اكسترا تشغيلة 42-19,69.50,15.5%
SKU-42-20,دواء بنادول اكسترا تشغيلة 42-20,70.50,15.5%
