كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-13-1,دواء بنادول اكسترا تشغيلة 13-1,51.50,15.5%
SKU-13-2,دواء بنادول اكسترا تشغيلة 13-2,52.50,15.5%
SKU-13-3,دواء بنادول اكسترا تشغيلة 13-3,53.50,15.5%
SKU-13-4,دواء بنادول اكسترا تشغيلة 13-4,54.50,15.5%
SKU-13-5,دواء بنادول اكسترا تشغيلة 13-5,55.50,15.5%
SKU-13-6,دواء بنادول اكسترا تشغيلة 13-6,56.50,15.5%
SKU-13-7,دواء بنادول اكسترا تشغيلة 13-7,57.50,15.5%
SKU-13-8,دواء بنادول اكسترا تشغيلة 13-8,58.50,15.5%
SKU-13-9,دواء بنادول اكسترا تشغيلة 13-9,59.50,15.5%
SKU-13-10,دواء بنادول اكسترا تشغيلة 13-10,60.50,15.5%
SKU-13-11,دواء بنادول اكسترا تشغيلة 13-11,61.50,15.5%
SKU-13-12,دواء بنادول اكسترا تشغيلة 13-12,62.50,15.5%
SKU-13-13,دواء بنادول اكسترا تشغيلة 13-13,63.50,15.5%
SKU-13-14,دواء بنادول اكسترا تشغيلة 13-14,64.50,15.5%
SKU-13-15,دواء بنادول اكسترا تشغيلة 13-15,65.50,15.5%
SKU-13-16,دواء بنادول اكسترا تشغيلة 13-16,66.50,15.5%
SKU-13-17,دواء بنادول اكسترا تشغيلة 13-17,67.50,15.5%
SKU-13-18,دواء بنادول اكسترا تشغيلة 13-18,68.50,15.5%
SKU-13-19,دواء بنادول اكسترا تشغيلة 13-19,69.50,15.5%
SKU-13-20,دواء بنادول اكسترا تشغيلة 13-20,70.50,15.5%
