كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-090-01,صنف تجريبي رقم 90-1,120.00,18.0%
SKU-090-02,صنف تجريبي رقم 90-2,120.00,18.0%
SKU-090-03,صنف تجريبي رقم 90-3,120.00,18.0%
SKU-090-04,صنف تجريبي رقم 90-4,120.00,18.0%
SKU-090-05,صنف تجريبي رقم 90-5,120.00,18.0%
SKU-090-06,صنف تجريبي رقم 90-6,120.00,18.0%
SKU-090-07,صنف تجريبي رقم 90-7,120.00,18.0%
SKU-090-08,صنف تجريبي رقم 90-8,120.00,18.0%
SKU-090-09,صنف تجريبي رقم 90-9,120.00,18.0%
SKU-090-10,صنف تجريبي رقم 90-10,120.00,18.0%
SKU-090-11,صنف تجريبي رقم 90-11,120.00,18.0%
SKU-090-12,صنف تجريبي رقم 90-12,120.00,18.0%
SKU-090-13,صنف تجريبي رقم 90-13,120.00,18.0%
SKU-090-14,صنف تجريبي رقم 90-14,120.00,18.0%
SKU-090-15,صنف تجريبي رقم 90-15,120.00,18.0%
