كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-052-01,صنف تجريبي رقم 52-1,120.00,18.0%
SKU-052-02,صنف تجريبي رقم 52-2,120.00,18.0%
SKU-052-03,صنف تجريبي رقم 52-3,120.00,18.0%
SKU-052-04,صنف تجريبي رقم 52-4,120.00,18.0%
SKU-052-05,صنف تجريبي رقم 52-5,120.00,18.0%
SKU-052-06,صنف تجريبي رقم 52-6,120.00,18.0%
SKU-052-07,صنف تجريبي رقم 52-7,120.00,18.0%
SKU-052-08,صنف تجريبي رقم 52-8,120.00,18.0%
SKU-052-09,صنف تجريبي رقم 52-9,120.00,18.0%
SKU-052-10,صنف تجريبي رقم 52-10,120.00,18.0%
SKU-052-11,صنف تجريبي رقم 52-11,120.00,18.0%
SKU-052-12,صنف تجريبي رقم 52-12,120.00,18.0%
SKU-052-13,صنف تجريبي رقم 52-13,120.00,18.0%
SKU-052-14,صنف تجريبي رقم 52-14,120.00,18.0%
SKU-052-15,صنف تجريبي رقم 52-15,120.00,18.0%
