كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-61-1,دواء بنادول اكسترا تشغيلة 61-1,51.50,15.5%
SKU-61-2,دواء بنادول اكسترا تشغيلة 61-2,52.50,15.5%
SKU-61-3,دواء بنادول اكسترا تشغيلة 61-3,53.50,15.5%
SKU-61-4,دواء بنادول اكسترا تشغيلة 61-4,54.50,15.5%
SKU-61-5,دواء بنادول اكسترا تشغيلة 61-5,55.50,15.5%
SKU-61-6,دواء بنادول اكسترا تشغيلة 61-6,56.50,15.5%
SKU-61-7,دواء بنادول اكسترا تشغيلة 61-7,57.50,15.5%
SKU-61-8,دواء بنادول اكسترا تشغيلة 61-8,58.50,15.5%
SKU-61-9,دواء بنادول اكسترا تشغيلة 61-9,59.50,15.5%
SKU-61-10,دواء بنادول اكسترا تشغيلة 61-10,60.50,15.5%
SKU-61-11,دواء بنادول اكسترا تشغيلة 61-11,61.50,15.5%
SKU-61-12,دواء بنادول اكسترا تشغيلة 61-12,62.50,15.5%
SKU-61-13,دواء بنادول اكسترا تشغيلة 61-13,63.50,15.5%
SKU-61-14,دواء بنادول اكسترا تشغيلة 61-14,64.50,15.5%
SKU-61-15,دواء بنادول اكسترا تشغيلة 61-15,65.50,15.5%
SKU-61-16,دواء بنادول اكسترا تشغيلة 61-16,66.50,15.5%
SKU-61-17,دواء بنادول اكسترا تشغيلة 61-17,67.50,15.5%
SKU-61-18,دواء بنادول اكسترا تشغيلة 61-18,68.50,15.5%
SKU-61-19,دواء بنادول اكسترا تشغيلة 61-19,69.50,15.5%
SKU-61-20,دواء بنادول اكسترا تشغيلة 61-20,70.50,15.5%
