كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-053-01,صنف تجريبي رقم 53-1,120.00,18.0%
SKU-053-02,صنف تجريبي رقم 53-2,120.00,18.0%
SKU-053-03,صنف تجريبي رقم 53-3,120.00,18.0%
SKU-053-04,صنف تجريبي رقم 53-4,120.00,18.0%
SKU-053-05,صنف تجريبي رقم 53-5,120.00,18.0%
SKU-053-06,صنف تجريبي رقم 53-6,120.00,18.0%
SKU-053-07,صنف تجريبي رقم 53-7,120.00,18.0%
SKU-053-08,صنف تجريبي رقم 53-8,120.00,18.0%
SKU-053-09,صنف تجريبي رقم 53-9,120.00,18.0%
SKU-053-10,صنف تجريبي رقم 53-10,120.00,18.0%
SKU-053-11,صنف تجريبي رقم 53-11,120.00,18.0%
SKU-053-12,صنف تجريبي رقم 53-12,120.00,18.0%
SKU-053-13,صنف تجريبي رقم 53-13,120.00,18.0%
SKU-053-14,صنف تجريبي رقم 53-14,120.00,18.0%
SKU-053-15,صنف تجريبي رقم 53-15,120.00,18.0%
