كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-009-01,صنف تجريبي رقم 9-1,120.00,18.0%
SKU-009-02,صنف تجريبي رقم 9-2,120.00,18.0%
SKU-009-03,صنف تجريبي رقم 9-3,120.00,18.0%
SKU-009-04,صنف تجريبي رقم 9-4,120.00,18.0%
SKU-009-05,صنف تجريبي رقم 9-5,120.00,18.0%
SKU-009-06,صنف تجريبي رقم 9-6,120.00,18.0%
SKU-009-07,صنف تجريبي رقم 9-7,120.00,18.0%
SKU-009-08,صنف تجريبي رقم 9-8,120.00,18.0%
SKU-009-09,صنف تجريبي رقم 9-9,120.00,18.0%
SKU-009-10,صنف تجريبي رقم 9-10,120.00,18.0%
SKU-009-11,صنف تجريبي رقم 9-11,120.00,18.0%
SKU-009-12,صنف تجريبي رقم 9-12,120.00,18.0%
SKU-009-13,صنف تجريبي رقم 9-13,120.00,18.0%
SKU-009-14,صنف تجريبي رقم 9-14,120.00,18.0%
SKU-009-15,صنف تجريبي رقم 9-15,120.00,18.0%
