كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-021-01,صنف تجريبي رقم 21-1,120.00,18.0%
SKU-021-02,صنف تجريبي رقم 21-2,120.00,18.0%
SKU-021-03,صنف تجريبي رقم 21-3,120.00,18.0%
SKU-021-04,صنف تجريبي رقم 21-4,120.00,18.0%
SKU-021-05,صنف تجريبي رقم 21-5,120.00,18.0%
SKU-021-06,صنف تجريبي رقم 21-6,120.00,18.0%
SKU-021-07,صنف تجريبي رقم 21-7,120.00,18.0%
SKU-021-08,صنف تجريبي رقم 21-8,120.00,18.0%
SKU-021-09,صنف تجريبي رقم 21-9,120.00,18.0%
SKU-021-10,صنف تجريبي رقم 21-10,120.00,18.0%
SKU-021-11,صنف تجريبي رقم 21-11,120.00,18.0%
SKU-021-12,صنف تجريبي رقم 21-12,120.00,18.0%
SKU-021-13,صنف تجريبي رقم 21-13,120.00,18.0%
SKU-021-14,صنف تجريبي رقم 21-14,120.00,18.0%
SKU-021-15,صنف تجريبي رقم 21-15,120.00,18.0%
