كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-092-01,صنف تجريبي رقم 92-1,120.00,18.0%
SKU-092-02,صنف تجريبي رقم 92-2,120.00,18.0%
SKU-092-03,صنف تجريبي رقم 92-3,120.00,18.0%
SKU-092-04,صنف تجريبي رقم 92-4,120.00,18.0%
SKU-092-05,صنف تجريبي رقم 92-5,120.00,18.0%
SKU-092-06,صنف تجريبي رقم 92-6,120.00,18.0%
SKU-092-07,صنف تجريبي رقم 92-7,120.00,18.0%
SKU-092-08,صنف تجريبي رقم 92-8,120.00,18.0%
SKU-092-09,صنف تجريبي رقم 92-9,120.00,18.0%
SKU-092-10,صنف تجريبي رقم 92-10,120.00,18.0%
SKU-092-11,صنف تجريبي رقم 92-11,120.00,18.0%
SKU-092-12,صنف تجريبي رقم 92-12,120.00,18.0%
SKU-092-13,صنف تجريبي رقم 92-13,120.00,18.0%
SKU-092-14,صنف تجريبي رقم 92-14,120.00,18.0%
SKU-092-15,صنف تجريبي رقم 92-15,120.00,18.0%
