كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-020-01,صنف تجريبي رقم 20-1,120.00,18.0%
SKU-020-02,صنف تجريبي رقم 20-2,120.00,18.0%
SKU-020-03,صنف تجريبي رقم 20-3,120.00,18.0%
SKU-020-04,صنف تجريبي رقم 20-4,120.00,18.0%
SKU-020-05,صنف تجريبي رقم 20-5,120.00,18.0%
SKU-020-06,صنف تجريبي رقم 20-6,120.00,18.0%
SKU-020-07,صنف تجريبي رقم 20-7,120.00,18.0%
SKU-020-08,صنف تجريبي رقم 20-8,120.00,18.0%
SKU-020-09,صنف تجريبي رقم 20-9,120.00,18.0%
SKU-020-10,صنف تجريبي رقم 20-10,120.00,18.0%
SKU-020-11,صنف تجريبي رقم 20-11,120.00,18.0%
SKU-020-12,صنف تجريبي رقم 20-12,120.00,18.0%
SKU-020-13,صنف تجريبي رقم 20-13,120.00,18.0%
SKU-020-14,صنف تجريبي رقم 20-14,120.00,18.0%
SKU-020-15,صنف تجريبي رقم 20-15,120.00,18.0%
