كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-078-01,صنف تجريبي رقم 78-1,120.00,18.0%
SKU-078-02,صنف تجريبي رقم 78-2,120.00,18.0%
SKU-078-03,صنف تجريبي رقم 78-3,120.00,18.0%
SKU-078-04,صنف تجريبي رقم 78-4,120.00,18.0%
SKU-078-05,صنف تجريبي رقم 78-5,120.00,18.0%
SKU-078-06,صنف تجريبي رقم 78-6,120.00,18.0%
SKU-078-07,صنف تجريبي رقم 78-7,120.00,18.0%
SKU-078-08,صنف تجريبي رقم 78-8,120.00,18.0%
SKU-078-09,صنف تجريبي رقم 78-9,120.00,18.0%
SKU-078-10,صنف تجريبي رقم 78-10,120.00,18.0%
SKU-078-11,صنف تجريبي رقم 78-11,120.00,18.0%
SKU-078-12,صنف تجريبي رقم 78-12,120.00,18.0%
SKU-078-13,صنف تجريبي رقم 78-13,120.00,18.0%
SKU-078-14,صنف تجريبي رقم 78-14,120.00,18.0%
SKU-078-15,صنف تجريبي رقم 78-15,120.00,18.0%
