كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-59-1,دواء بنادول اكسترا تشغيلة 59-1,51.50,15.5%
SKU-59-2,دواء بنادول اكسترا تشغيلة 59-2,52.50,15.5%
SKU-59-3,دواء بنادول اكسترا تشغيلة 59-3,53.50,15.5%
SKU-59-4,دواء بنادول اكسترا تشغيلة 59-4,54.50,15.5%
SKU-59-5,دواء بنادول اكسترا تشغيلة 59-5,55.50,15.5%
SKU-59-6,دواء بنادول اكسترا تشغيلة 59-6,56.50,15.5%
SKU-59-7,دواء بنادول اكسترا تشغيلة 59-7,57.50,15.5%
SKU-59-8,دواء بنادول اكسترا تشغيلة 59-8,58.50,15.5%
SKU-59-9,دواء بنادول اكسترا تشغيلة 59-9,59.50,15.5%
SKU-59-10,دواء بنادول اكسترا تشغيلة 59-10,60.50,15.5%
SKU-59-11,دواء بنادول اكسترا تشغيلة 59-11,61.50,15.5%
SKU-59-12,دواء بنادول اكسترا تشغيلة 59-12,62.50,15.5%
SKU-59-13,دواء بنادول اكسترا تشغيلة 59-13,63.50,15.5%
SKU-59-14,دواء بنادول اكسترا تشغيلة 59-14,64.50,15.5%
SKU-59-15,دواء بنادول اكسترا تشغيلة 59-15,65.50,15.5%
SKU-59-16,دواء بنادول اكسترا تشغيلة 59-16,66.50,15.5%
SKU-59-17,دواء بنادول اكسترا تشغيلة 59-17,67.50,15.5%
SKU-59-18,دواء بنادول اكسترا تشغيلة 59-18,68.50,15.5%
SKU-59-19,دواء بنادول اكسترا تشغيلة 59-19,69.50,15.5%
SKU-59-20,دواء بنادول اكسترا تشغيلة 59-20,70.50,15.5%
