كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-2-1,دواء بنادول اكسترا تشغيلة 2-1,51.50,15.5%
SKU-2-2,دواء بنادول اكسترا تشغيلة 2-2,52.50,15.5%
SKU-2-3,دواء بنادول اكسترا تشغيلة 2-3,53.50,15.5%
SKU-2-4,دواء بنادول اكسترا تشغيلة 2-4,54.50,15.5%
SKU-2-5,دواء بنادول اكسترا تشغيلة 2-5,55.50,15.5%
SKU-2-6,دواء بنادول اكسترا تشغيلة 2-6,56.50,15.5%
SKU-2-7,دواء بنادول اكسترا تشغيلة 2-7,57.50,15.5%
SKU-2-8,دواء بنادول اكسترا تشغيلة 2-8,58.50,15.5%
SKU-2-9,دواء بنادول اكسترا تشغيلة 2-9,59.50,15.5%
SKU-2-10,دواء بنادول اكسترا تشغيلة 2-10,60.50,15.5%
SKU-2-11,دواء بنادول اكسترا تشغيلة 2-11,61.50,15.5%
SKU-2-12,دواء بنادول اكسترا تشغيلة 2-12,62.50,15.5%
SKU-2-13,دواء بنادول اكسترا تشغيلة 2-13,63.50,15.5%
SKU-2-14,دواء بنادول اكسترا تشغيلة 2-14,64.50,15.5%
SKU-2-15,دواء بنادول اكسترا تشغيلة 2-15,65.50,15.5%
SKU-2-16,دواء بنادول اكسترا تشغيلة 2-16,66.50,15.5%
SKU-2-17,دواء بنادول اكسترا تشغيلة 2-17,67.50,15.5%
SKU-2-18,دواء بنادول اكسترا تشغيلة 2-18,68.50,15.5%
SKU-2-19,دواء بنادول اكسترا تشغيلة 2-19,69.50,15.5%
SKU-2-20,دواء بنادول اكسترا تشغيلة 2-20,70.50,15.5%
