كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-31-1,دواء بنادول اكسترا تشغيلة 31-1,51.50,15.5%
SKU-31-2,دواء بنادول اكسترا تشغيلة 31-2,52.50,15.5%
SKU-31-3,دواء بنادول اكسترا تشغيلة 31-3,53.50,15.5%
SKU-31-4,دواء بنادول اكسترا تشغيلة 31-4,54.50,15.5%
SKU-31-5,دواء بنادول اكسترا تشغيلة 31-5,55.50,15.5%
SKU-31-6,دواء بنادول اكسترا تشغيلة 31-6,56.50,15.5%
SKU-31-7,دواء بنادول اكسترا تشغيلة 31-7,57.50,15.5%
SKU-31-8,دواء بنادول اكسترا تشغيلة 31-8,58.50,15.5%
SKU-31-9,دواء بنادول اكسترا تشغيلة 31-9,59.50,15.5%
SKU-31-10,دواء بنادول اكسترا تشغيلة 31-10,60.50,15.5%
SKU-31-11,دواء بنادول اكسترا تشغيلة 31-11,61.50,15.5%
SKU-31-12,دواء بنادول اكسترا تشغيلة 31-12,62.50,15.5%
SKU-31-13,دواء بنادول اكسترا تشغيلة 31-13,63.50,15.5%
SKU-31-14,دواء بنادول اكسترا تشغيلة 31-14,64.50,15.5%
SKU-31-15,دواء بنادول اكسترا تشغيلة 31-15,65.50,15.5%
SKU-31-16,دواء بنادول اكسترا تشغيلة 31-16,66.50,15.5%
SKU-31-17,دواء بنادول اكسترا تشغيلة 31-17,67.50,15.5%
SKU-31-18,دواء بنادول اكسترا تشغيلة 31-18,68.50,15.5%
SKU-31-19,دواء بنادول اكسترا تشغيلة 31-19,69.50,15.5%
SKU-31-20,دواء بنادول اكسترا تشغيلة 31-20,70.50,15.5%
